ForhandSlice, -8456,-13696,3260,976,-12672,11120,9524,-13628,284
ForhandSlice, -8900,-12784,4388,1228,-10920,11652,9216,-11952,100
ForhandSlice, -6752,-11484,11156,7084,-7692,13604,14600,-10700,2216
ForhandSlice, -6276,-15156,15412,11320,-10160,14968,15784,-9920,2116
ForhandSlice, -1480,-32768,17888,21988,-21288,16244,22080,-10768,508
ForhandSlice, -6620,-32768,-284,10864,-32768,10832,13012,-22268,-2584
ForhandSlice, 1384,-12288,-16848,-3596,-16828,-6168,3004,-8552,-5880
ForhandSlice, -1796,2700,-10364,-7328,-7448,-4512,-1100,-9536,-7776
ForhandSlice, -12944,-10524,1292,-6536,-10460,11140,1368,-16432,356
ForhandSlice, -10664,-8292,2256,-4220,-7276,10436,2552,-13860,-944
ForhandSlice, -11576,-8248,736,-5464,-9940,10108,3512,-13184,-3516
ForhandSlice, -15076,-12172,4096,-3236,-13636,16904,7360,-17692,-3132
ForhandSlice, -15272,-14336,8216,472,-11576,18312,9356,-15444,-1732
ForhandSlice, -9828,-8700,6836,1648,-7168,13076,8800,-10796,-1920
ForhandSlice, -6048,-7000,16900,8892,-4956,15244,14328,-9308,-1528
ForhandSlice, 7928,-18716,17432,20792,-12352,7836,15448,-5536,-5208
ForhandSlice, 1704,-32768,5636,23080,-32768,11608,18644,-24496,-4356
ForhandSlice, 2416,-32768,-18328,4480,-32768,-4528,4776,-18984,-4768
ForhandSlice, 3508,2316,-9692,-1456,-4944,-7392,580,-3544,-6468
ForhandSlice, 1824,1644,-14624,-4292,-11024,-11668,-2444,-8624,-19140
ForhandSlice, 18388,-7820,-32768,9036,-32768,-24108,26296,-32768,-16248
ForhandSlice, 32468,-32768,-32768,23068,-32768,-32768,32767,-10432,-19268
ForhandSlice, 11308,-24336,3296,11880,-15052,640,7116,-23644,4176
ForhandSlice, 720,-7548,-2700,-2964,-8340,784,1480,-11180,1244
ForhandSlice, 12,-14016,-9940,256,-16624,-1048,2548,-13724,944
ForhandSlice, -4024,-13984,-5360,-116,-16572,3272,1884,-17768,1360
ForhandSlice, -13200,-14764,120,-4472,-14912,11948,356,-18892,360
ForhandSlice, -14760,-16400,-84,-3820,-14692,13576,2756,-19256,-864
ForhandSlice, -17292,-10680,-100,-8380,-11212,15496,304,-16888,-1916
ForhandSlice, -9944,-7148,-2300,-5596,-7780,8908,1912,-13936,-1928
ForhandSlice, -11496,-6200,684,-4036,-8216,11524,4992,-13568,-3136
ForhandSlice, -17884,-11336,5028,-4992,-10684,17588,7068,-19252,-556
ForhandSlice, -13388,-8872,8428,64,-7304,16080,8620,-12748,-352
ForhandSlice, -7160,-2440,9928,2940,-3260,11388,10856,-11608,-744
ForhandSlice, -6048,-18444,12764,10112,-11928,15528,11188,-11048,-4364
ForhandSlice, -8280,-31652,10136,13036,-23240,17424,15256,-17340,-2556
ForhandSlice, -1036,-32768,-8524,5884,-30676,4088,9812,-18960,-4300
ForhandSlice, 1924,-5136,-20136,-3324,-14656,-13604,-720,-9112,-9944
ForhandSlice, 648,4128,-12796,-6808,-11188,-8168,116,-9492,-16420
ForhandSlice, 6372,-64,-32768,-6400,-31684,-25040,14244,-32768,-22872
ForhandSlice, 32767,-32768,-20328,32767,-32768,-32768,32767,27140,-27440
ForhandSlice, -3676,-27048,-6748,8456,-21468,-7400,4744,-32768,-4200
ForhandSlice, 2796,-9988,1956,2888,-10236,2840,4804,-11420,3568
ForhandSlice, 7260,-12792,-12408,5140,-15024,-4336,6688,-8704,908
ForhandSlice, -3772,-14416,-7632,-632,-18284,4796,3796,-22692,-492
ForhandSlice, -12856,-12280,168,-5648,-13276,11764,2352,-20148,1688
ForhandSlice, -16436,-7352,-256,-9596,-9284,12840,996,-17952,1376
ForhandSlice, -13008,-8240,-148,-6404,-9304,11936,3020,-14396,-1396
ForhandSlice, -12664,-6304,-1844,-8352,-8632,9300,-24,-15808,-3308
ForhandSlice, -20908,-16756,4684,-7820,-14760,20792,5656,-20908,-2940
ForhandSlice, -10676,-5640,3748,-3284,-5700,11208,6392,-12308,-1368
ForhandSlice, -10352,-9004,7332,320,-7212,15368,10028,-12588,-1076
ForhandSlice, -16768,-10040,9444,-2460,-7688,19860,9264,-17040,2592
ForhandSlice, -244,876,8672,5612,-336,5596,7236,-7504,-5616
ForhandSlice, 6652,-32768,14780,23560,-29156,15216,19680,-12740,-3292
ForhandSlice, -2028,-32768,-4600,13256,-32768,4532,6492,-26852,-4312
ForhandSlice, 11704,-10288,-24148,640,-16180,-15240,2460,-13516,-5284
ForhandSlice, 5632,9880,-5064,816,728,-9868,-948,-1488,-6464
ForhandSlice, -3496,-4388,-26092,-9296,-24112,-10964,2896,-21212,-22324
ForhandSlice, 32767,-27208,-32768,32767,-27632,-20700,9188,-32768,-1900
ForhandSlice, 2676,-32768,4004,4828,-22280,1184,6008,-18176,5532
ForhandSlice, 8748,-11980,-14748,7244,-17668,-12400,11280,-9416,144
ForhandSlice, 2268,-12636,-7800,1044,-10904,-2156,4992,-16860,-192
ForhandSlice, 984,-9360,-10216,2516,-14692,-2724,5256,-12016,1008
ForhandSlice, -8352,-8700,-5316,-6156,-14220,4208,1632,-21892,-236
ForhandSlice, -16996,-10488,1872,-8244,-11744,15400,2404,-19508,-1076
ForhandSlice, -11964,-10460,3668,-4524,-8980,11276,3048,-14576,-716
ForhandSlice, -12940,-6784,-672,-5344,-10480,10180,3352,-12800,-2432
ForhandSlice, 12308,-29208,-9812,20984,-17696,-8084,11516,-26364,1136
ForhandSlice, 4828,-12212,-12560,6136,-14648,-7888,12156,-12084,656
ForhandSlice, 5920,-12312,-14236,2516,-17632,-1876,7320,-14964,-72
ForhandSlice, -4000,-8576,-9936,-2156,-15484,-1168,1604,-16620,1376
ForhandSlice, -9676,-9752,152,-5356,-8360,10296,408,-17680,2116
ForhandSlice, -12860,-8924,2084,-7100,-9368,11112,1364,-14136,1888
ForhandSlice, -10876,-10068,2968,-2688,-9560,11292,3112,-13124,288
ForhandSlice, -11248,-9868,24,-4696,-11172,9928,3340,-14092,-1776
ForhandSlice, -12372,-14184,2764,-2952,-12476,12972,6604,-17816,-3016
ForhandSlice, -15436,-14328,5008,-2220,-14444,16768,9408,-17512,-3216
ForhandSlice, -10568,-10496,4216,-780,-9836,12064,7340,-12548,-2820
ForhandSlice, -8468,-9924,3920,844,-8920,11404,8856,-11168,-3912
ForhandSlice, -8112,-11176,13448,7600,-6820,16024,15996,-12896,-1892
ForhandSlice, 388,-14724,15840,14900,-8756,8556,14568,-7508,-7428
ForhandSlice, 13084,-28176,11944,24092,-18940,4060,15996,-9296,-5872
ForhandSlice, 6528,-32768,548,18108,-32768,5356,14196,-19612,-2244
ForhandSlice, 6336,-25636,-21008,2048,-26884,-8704,4588,-18624,-2448
ForhandSlice, 5412,4916,-4984,-2908,-268,-6956,-1976,-7964,-6356
ForhandSlice, -10900,-7136,1228,-4164,-8664,10028,3952,-12928,-1244
ForhandSlice, -13248,-17080,1740,-3792,-14096,14748,5728,-18624,-6580
ForhandSlice, -11992,-15924,5544,972,-14212,14804,9660,-15848,-3240
