11512,-11900,1036,-5768,-12284,10376,2432,-15380,5468
-12352,-11328,860,-5956,-12228,11068,2312,-15616,5320
-11956,-13328,796,-5896,-13244,10724,2332,-15712,5796
-13332,-11008,5052,-4752,-10136,13692,3728,-14592,8384
-10920,-7016,13660,1748,-5832,16908,7388,-11744,10536
-2880,-10596,13288,8184,-9496,10552,10100,-12764,3124
10080,-20256,7840,15748,-16752,1940,12520,-14992,-3072
20240,-17052,7300,19060,-19648,-196,12796,-18028,-2332
19268,-24184,12036,18176,-20808,2548,13232,-15232,2464
6708,-22076,8124,8576,-21160,8704,8532,-15748,6072
12744,-32768,9952,11108,-32204,7776,6536,-23632,4764
32767,-32768,30516,32767,-32768,-3552,24396,-32768,-9224
32767,664,26104,32767,-1348,1620,29188,-8288,7600
-2616,25624,8960,1200,20816,8472,-1532,1416,12724
-11184,3768,12900,-6312,5024,15260,-6988,-5532,14884
-3912,6348,9936,-2980,6272,10244,-2448,-4940,10652
-6544,-12028,4836,-4216,-9880,10708,-1752,-9644,8184
-14820,-10688,2504,-11700,-10840,12380,-3568,-22344,7144
-16748,-14348,2196,-6724,-14936,13428,-676,-18180,5764
-13688,-10496,-1732,-8356,-11776,10856,512,-17668,1444
-11860,-10260,-1288,-7224,-10940,8208,308,-15364,-676
-9284,-10984,304,-4032,-13388,7948,5552,-14516,-1800
-9864,-21860,2472,944,-20476,12336,11680,-16948,2512
-10984,-15280,6260,1492,-14744,13332,10768,-14720,1244
-9988,-13360,13808,5864,-10836,17352,13248,-13804,4152
2364,-12732,18400,14288,-8504,9284,14804,-8092,1972
18036,-6760,5380,15528,-5900,-3360,11528,-11560,-2968
32767,-11460,8508,24436,-12232,-332,16036,-7880,-740
27340,-13580,4548,19804,-18452,2700,12948,-14760,3012
24844,-23460,7332,16324,-27696,3984,11628,-14496,2976
-11788,-11640,4920,-3208,-11300,13072,4004,-15344,3400
-10316,-11316,4044,-2756,-11404,11836,4396,-15400,2744
-11380,-12228,4556,-3220,-12072,12572,4016,-15636,3672
-11556,-10148,5052,-3124,-10288,12952,4048,-15516,3964
-12596,-11120,4724,-3688,-11552,13756,4140,-15916,5796
-13368,-6348,18008,3724,-4724,21812,9424,-12076,8844
-584,216,15732,10624,-168,10768,10116,-9720,5032
18212,-6648,7532,17280,-9236,-2000,9468,-14500,-3084
32767,-16264,-1320,32767,-16320,-11256,16608,-8560,-1932
32767,-14120,2164,30708,-16868,-1836,21280,-19600,100
-756,-12948,11492,19376,-3360,940,11972,-22688,1524
26048,-32768,23324,30076,-32768,17152,17464,-11816,10092
32767,-32768,8088,32767,-32768,-18108,11540,-32768,-9648
32767,2320,-17620,32767,-1704,-29408,32767,24772,-8208
7972,26296,9944,5052,21616,10844,-3852,4956,16716
-7124,5512,12188,-5432,10016,11132,-4680,3668,14592
-7120,8952,4272,-6056,7856,7256,-4968,180,14352
-5588,-6536,6032,-2936,-984,7644,-5972,-1848,8360
-10344,-12676,9524,-8352,-9028,13864,-2128,-19136,8704
-10912,-20876,4796,-3988,-17616,17288,2536,-19948,10348
-13464,-18084,8452,-1632,-16612,16980,3336,-18664,904
-9104,-14176,5600,-1508,-14996,11276,5912,-13704,-1228
-9928,-18596,6056,2212,-17492,13020,11224,-15136,-1392
-9400,-13304,11328,5264,-11932,14404,12416,-12940,980
-8236,-9712,17076,8764,-8368,15404,13680,-11572,3012
6248,-7656,19488,15632,-4208,8380,14004,-8064,1448
24128,-2768,4964,17732,-3828,-7648,10956,-11044,-2700
32767,-7556,-8996,29492,-14292,-7612,11796,-7904,-1772
29352,-13768,236,29224,-15752,-756,23864,-12992,1304
16432,-21204,10572,17684,-18784,5784,12776,-11856,7840
-8456,-13696,3260,976,-12672,11120,9524,-13628,284
-8900,-12784,4388,1228,-10920,11652,9216,-11952,100
-6752,-11484,11156,7084,-7692,13604,14600,-10700,2216
-6276,-15156,15412,11320,-10160,14968,15784,-9920,2116
-1480,-32768,17888,21988,-21288,16244,22080,-10768,508
-6620,-32768,-284,10864,-32768,10832,13012,-22268,-2584
1384,-12288,-16848,-3596,-16828,-6168,3004,-8552,-5880
-1796,2700,-10364,-7328,-7448,-4512,-1100,-9536,-7776
-12944,-10524,1292,-6536,-10460,11140,1368,-16432,356
-10664,-8292,2256,-4220,-7276,10436,2552,-13860,-944
-11576,-8248,736,-5464,-9940,10108,3512,-13184,-3516
-15076,-12172,4096,-3236,-13636,16904,7360,-17692,-3132
-15272,-14336,8216,472,-11576,18312,9356,-15444,-1732
-9828,-8700,6836,1648,-7168,13076,8800,-10796,-1920
-6048,-7000,16900,8892,-4956,15244,14328,-9308,-1528
7928,-18716,17432,20792,-12352,7836,15448,-5536,-5208
1704,-32768,5636,23080,-32768,11608,18644,-24496,-4356
2416,-32768,-18328,4480,-32768,-4528,4776,-18984,-4768
3508,2316,-9692,-1456,-4944,-7392,580,-3544,-6468
1824,1644,-14624,-4292,-11024,-11668,-2444,-8624,-19140
18388,-7820,-32768,9036,-32768,-24108,26296,-32768,-16248
32468,-32768,-32768,23068,-32768,-32768,32767,-10432,-19268
11308,-24336,3296,11880,-15052,640,7116,-23644,4176
720,-7548,-2700,-2964,-8340,784,1480,-11180,1244
12,-14016,-9940,256,-16624,-1048,2548,-13724,944
-4024,-13984,-5360,-116,-16572,3272,1884,-17768,1360
-13200,-14764,120,-4472,-14912,11948,356,-18892,360
-14760,-16400,-84,-3820,-14692,13576,2756,-19256,-864
-17292,-10680,-100,-8380,-11212,15496,304,-16888,-1916
-9944,-7148,-2300,-5596,-7780,8908,1912,-13936,-1928
-7912,-15404,4232,-228,-12632,12416,5656,-15128,1028
-7564,-14700,5400,1048,-11632,13380,7512,-15028,2580
-7916,-11992,5220,-208,-10196,13240,6084,-15100,3856
-12340,-12744,884,-5104,-10540,13964,1012,-18940,3480
-740,-18108,-3552,-3248,-15316,4388,1688,-20364,-3656
10832,-19020,6224,11348,-15844,7104,6304,-12720,-1456
23036,-10168,6740,19236,-9168,3380,8612,-11752,1268
23372,2528,15964,23380,1776,6268,19324,-4044,364
25712,296,14672,27284,-3008,15620,25108,-11464,8696
32767,-20356,-6836,32767,-21948,-12692,32767,660,5172
32767,-108,-32768,24572,-10352,-32768,9572,-11216,312
6024,15764,-5372,-9220,-2968,-25972,280,-12820,-15852
-4548,16468,-13624,-11328,-3248,-12812,-6536,-15296,-732
-4856,2408,-12936,-14552,-8616,-3940,-2004,-14332,-1100
700,4048,-14428,-4344,-6892,-8912,2868,-14916,484
452,-15484,-5976,-1432,-17680,2960,5640,-19380,3560
-4968,-26084,8240,8904,-21408,20036,5032,-21604,5040
-7196,-18388,15456,8336,-11964,16640,9176,-10596,-764
-1304,-14896,9172,7024,-11336,13900,9504,-11952,-532
4512,-12740,12056,8420,-8932,10584,12292,-12164,-144
820,-17640,11648,7056,-14932,13104,10020,-16448,-1960
-3744,-8348,6176,508,-8268,12152,4464,-15832,2148
-4588,-13152,-1240,-1924,-12288,6840,5276,-17824,-1600
20928,-16020,-3072,14340,-16976,1528,5140,-8904,-11312
25056,-2216,6744,24700,-3864,5056,16960,-9496,-8856
15908,-1152,1476,15276,-6752,6228,18136,-10776,-3288
32767,-28032,20900,32767,-20364,10596,32767,-3828,3384
32767,-32768,-32768,32767,-32768,-32768,11140,-17656,-9236
31544,32767,-32768,6456,9652,-32768,6360,-23916,-3084
-6120,9008,-7576,-13360,-2800,-8340,-8892,-13372,-8852
-7500,-14808,1504,-592,-14088,9428,6560,-14496,3924
-7448,-15016,1680,-768,-14016,9304,6708,-14972,3940
-7520,-14200,1816,-644,-13784,9360,6472,-14384,4176
-7964,-13668,964,-1704,-13244,9336,5156,-13884,4972
-10644,-11464,-3392,-7220,-13220,8052,860,-19284,2848
-6888,-23792,-14020,-7488,-24696,3432,-772,-21488,4524
-364,-27380,11008,6820,-20744,13804,8524,-17392,3816
-1052,-4248,14820,8352,-2544,13360,8900,-6516,8244
1800,3808,10340,5768,4724,5456,7992,-4680,9916
21036,10816,26952,27048,15392,8208,11212,-17184,14728
32767,-32768,32767,32767,-32768,11360,22516,26480,12352
2372,-14948,25136,12208,-2836,16520,11364,-3712,12032
-6732,-1500,15748,7036,3668,14552,7512,-4480,13420
-6872,672,15584,7308,1228,14352,7780,-4508,12636
-10328,-2352,10792,-24,-1292,15412,1296,-7716,11352
