4920,4044,4556,5052,4724,18008,15732,7532,-1320,2164,11492,23324,8088,-17620,9944,12188,4272,6032,9524,4796,8452,5600,6056,11328,17076,19488,4964,-8996,236,10572,128,-32768
-24196,10064,3328,13140,6744,5484,6696,4440,2600,3824,7020,8848,18776,13144,1908,-4148,2244,9728,16128,-120,2568,7024,10172,11160,3536,5528,4336,7256,7452,3868,5868,13148
17864,13064,1560,-2992,3656,7640,9604,-504,-26812,2332,5056,10500,2264,2320,5824,10200,17768,14820,2668,-6612,2832,8936,912,10632,-32768,-5680,8116,12392,6492,8428,8820,4708
1092,4196,5636,8688,12552,18300,7228,-12028,-4568,3028,2584,-12116,-32768,2716,8540,14948,4180,10260,11300,12596,6104,5292,600,1536,10876,14960,128,3508,-1940,2568,6724,-1792
-636,13220,4032,7024,5876,10968,14240,8980,3608,5132,7548,14836,15124,2264,-8028,-876,7400,-4816,2712,-26112,10272,13188,8788,6040,1024,3060,-32768,-32768,-3760,12184,10900,6976
2812,2320,-660,1060,-1536,6180,8972,13348,11196,-624,-10980,-2388,3372,-17284,-32768,-32768,17316,11788,10444,8424,2444,6636,2828,1612,4664,7012,18244,372,10284,5944,7016,10356
14368,4140,4548,10560,14292,17192,9864,-3164,5520,8580,17488,2948,-4896,16140,8892,8324,6276,4612,3064,-4148,-2612,1444,4228,1904,-4620,-3456,10940,9088,-7736,804,7796,14888
16004,2880,592,3276,924,3844,4560,6744,15144,8528,-5036,-1040,6156,3860,-28864,-32768,-24,9076,11252,9256,9672,16236,16384,3836,-13044,-3708,4632,-13588,-32768,-21756,10008,10232
9748,7656,3840,4224,1024,768,4484,12224,17544,12528,-6396,-9948,604,6876,-32768,-32768,-4660,10916,12616,12304,5608,3964,6124,5564,3312,14436,-5876,-5704,4720,976,-32768,364
9848,6888,7092,6348,4232,4744,5072,3556,8976,14304,14520,6744,-7220,-9848,252,4044,-10664,-32768,11576,12320,2980,4596,1424,772,-2972,-308,3160,11856,14444,13412,2208,-420
372,2488,2380,17296,-19120,4224,3848,12088,8492,3508,544,116,1856,6296,6048,9928,11924,8964,8140,6320,10764,12072,17252,26212,8916,13420,6292,5080,5204,264,4300,1396
2380,17296,-19120,4224,3848,12088,8492,3508,544,116,1856,6296,6048,9928,11924,8964,8140,6320,10764,12072,17252,26212,8916,13420,6292,5080,5204,264,4300,1396,-728,-1840
