-15404,-14700,-11992,-12744,-18108,-19020,-10168,2528,296,-20356,-108,15764,16468,2408,4048,-15484,-26084,-18388,-14896,-12740,-17640,-8348,-13152,-16020,-2216,-1152,-28032,-32768,32767,9008,5508,3728
2292,-9684,-12980,-15016,-14536,-12564,-15548,-14384,-9864,-12752,-17188,-16752,-12732,-10484,-23000,-32768,32767,8788,3772,-144,-4280,-11276,-15324,-13956,-14496,-13244,-15700,-14748,-14152,-22720,-11088,-9900
-10836,-19584,-30108,31928,-188,1928,-5956,3744,-8880,-20236,-16272,-14916,-11028,-22824,-13508,7504,8880,11916,-31348,25844,3044,1256,-5796,-7980,-18672,-12332,-13044,-9772,-17028,-17412,-14504,-18012
-5956,-7432,7628,8588,-24740,5732,2284,-1048,-5332,-12456,-8136,-13012,-12804,-11448,-13972,-13712,-10240,-16384,-18932,4356,5856,16404,-23352,19056,12040,-2432,-2672,-11012,-8268,-12868,-14104,-15116
-16188,-14120,-12972,-516,-9908,-1472,-5452,-17780,-12736,-12616,-15792,-13168,-24548,3040,-4100,-32768,24292,4752,3608,-6440,-7252,-13216,-16580,-12944,-10848,-16452,-14964,-14256,-15732,-11152,-8440,-372
-28252,-4788,15296,8040,-764,-4248,-10704,-9160,-26192,-13196,-14236,-18548,-15024,-14160,-17016,-12212,3660,6292,-20272,-8536,27156,896,-60,-3312,-10024,-15248,-17616,-11088,-11916,-14968,-13936,-13748
-12268,-18304,-9440,-3856,-5704,-11032,-25380,32767,4820,-64,-3228,-8740,-12796,-9956,-11392,-15680,-15980,-13160,-15156,-13988,-6844,-29376,3008,14388,3676,1860,-9408,-10536,-18700,-12096,-13344,-15636
-14388,-14112,-13628,-10664,-13824,-8252,-23164,-20308,18840,4168,5072,-7148,1092,-9144,-15580,-18344,-14608,-11088,-14444,-13200,-13320,-14940,-15768,-13292,-14944,-7388,-4164,-17124,-6128,-32768,-20164,23152
6156,1104,-5060,-2896,-8996,-14252,-11028,-14088,-14580,-13904,-13360,-11912,-13492,-8404,-4728,-1836,4440,500,-7468,-10564,-15204,-7928,-8448,-9712,-16108,-14228,-15452,-19428,-9732,-4840,-3552,-29516
-32768,28080,4160,1260,-6536,-8664,-19344,-19964,-10116,-10456,-12272,-10076,-11108,-21020,-18540,5664,5872,-2108,-32768,16360,11988,3000,-5084,-9632,-3584,-9548,-11192,-10388,-12676,-12152,-13872,-10860
-2108,-32768,16360,11988,3000,-5084,-9632,-3584,-9548,-11192,-10388,-12676,-12152,-13872,-10860,-17860,-8436,-248,3260,-30412,-11448,25620,5292,5756,-2736,-2224,-6916,-11796,-12880,-16460,-15256,-9980
