-8456,-8900,-6752,-6276,-1480,-6620,1384,-1796,-12944,-10664,-11576,-15076,-15272,-9828,-6048,7928,1704,2416,3508,1824,18388,32468,11308,720,12,-4024,-13200,-14760,-17292,-9944,-11496,-17884
7928,1704,2416,3508,1824,18388,32468,11308,720,12,-4024,-13200,-14760,-17292,-9944,-11496,-17884,-13388,-7160,-6048,-8280,-1036,1924,648,6372,32767,-3676,2796,7260,-3772,-12856,-16436
-13388,-7160,-6048,-8280,-1036,1924,648,6372,32767,-3676,2796,7260,-3772,-12856,-16436,-13008,-12664,-20908,-10676,-10352,-16768,-244,6652,-2028,11704,5632,-3496,32767,2676,8748,2268,984
-20908,-10676,-10352,-16768,-244,6652,-2028,11704,5632,-3496,32767,2676,8748,2268,984,-8352,-16996,-11964,-12940,12308,4828,5920,-4000,-9676,-12860,-10876,-11248,-12372,-15436,-10568,-8468,-8112
-8352,-16996,-11964,-12940,12308,4828,5920,-4000,-9676,-12860,-10876,-11248,-12372,-15436,-10568,-8468,-8112,388,13084,6528,6336,5412,-10900,-13248,-11992,-8928,-8496,-2092,4188,4632,1016,1752
388,13084,6528,6336,5412,-10900,-13248,-11992,-8928,-8496,-2092,4188,4632,1016,1752,748,22652,27800,6712,3644,832,-8812,-12548,-9472,-10228,-13808,-12704,-12940,-9428,-6272,-276,2112
748,22652,27800,6712,3644,832,-8812,-12548,-9472,-10228,-13808,-12704,-12940,-9428,-6272,-276,2112,-124,4276,2380,-3364,32767,8792,6336,-3492,-8596,-15316,-15956,-14304,-9804,-15312,-15312 
11512,-12352,-11956,-13332,-10920,-2880,10080,20240,19268,6708,12744,32767,32767,-2616,-11184,-3912,-6544,-14820,-16748,-13688,-11860,-9284,-9864,-10984,-9988,2364,18036,32767,27340,24844,32767,32767
-14820,-16748,-13688,-11860,-9284,-9864,-10984,-9988,2364,18036,32767,27340,24844,32767,32767,32767,-5980,-9880,-5808,-6300,-14444,-13892,-11700,-9080,-8996,-7072,-5456,-6264,6688,22252,23124,24484
32767,-5980,-9880,-5808,-6300,-14444,-13892,-11700,-9080,-8996,-7072,-5456,-6264,6688,22252,23124,24484,14828,26856,32767,32767,4428,-11104,-9780,-4420,-6204,-8520,-7128,-10568,-5816,-5356,-4348
14828,26856,32767,32767,4428,-11104,-9780,-4420,-6204,-8520,-7128,-10568,-5816,-5356,-4348,-5236,-5172,-1668,7392,16520,24732,21908,17472,30104,32767,28456,-11108,-408,-9640,-7732,-7064,-10972
-5236,-5172,-1668,7392,16520,24732,21908,17472,30104,32767,28456,-11108,-408,-9640,-7732,-7064,-10972,-15024,-10556,-11852,-8124,-8576,-6544,-6076,5548,16008,19004,14608,8072,13524,32767,32767
-15024,-10556,-11852,-8124,-8576,-6544,-6076,5548,16008,19004,14608,8072,13524,32767,32767,-3740,-10324,-5888,-3808,-9764,-11368,-9608,-10000,-7064,-4556,-5232,-6016,-2640,9904,23204,25100,15420
-3740,-10324,-5888,-3808,-9764,-11368,-9608,-10000,-7064,-4556,-5232,-6016,-2640,9904,23204,25100,15420,-11296,-5816,-3864,-7452,-9592,-10404,-6304,-4724,-4052,868,8528,14948,7424,4432,744
-7912,-7564,-7916,-12340,-740,10832,23036,23372,25712,32767,32767,6024,-4548,-4856,700,452,-4968,-7196,-1304,4512,820,-3744,-4588,20928,25056,15908,32767,32767,31544,-6120,-8384,-4060
-7196,-1304,4512,820,-3744,-4588,20928,25056,15908,32767,32767,31544,-6120,-8384,-4060,-4,-3012,-18712,-14404,-9788,-11196,-11196,-10108,-7668,-6844,1676,13720,18024,16996,26732,32767,32767
-4,-3012,-18712,-14404,-9788,-11196,-11196,-10108,-7668,-6844,1676,13720,18024,16996,26732,32767,32767,-9284,-5980,-6500,-4656,-4748,-13812,-13184,-10564,-9232,-9480,-8320,-7848,13528,15456,16184
-9284,-5980,-6500,-4656,-4748,-13812,-13184,-10564,-9232,-9480,-8320,-7848,13528,15456,16184,17400,32767,32767,32767,-13208,-9608,-9248,-4532,-10984,-12260,-12324,-8184,-7664,-2972,19588,15976,21020
17400,32767,32767,32767,-13208,-9608,-9248,-4532,-10984,-12260,-12324,-8184,-7664,-2972,19588,15976,21020,32767,32767,20224,-7680,-5784,-2540,-6128,-15836,-14876,-11836,-6696,-7224,-6668,-10540,-12416
32767,32767,20224,-7680,-5784,-2540,-6128,-15836,-14876,-11836,-6696,-7224,-6668,-10540,-12416,544,12892,14656,25196,32767,14160,-9012,-8736,-2580,-8536,-11860,-17044,-14636,-11264,-10804,-9668,-9668
544,12892,14656,25196,32767,14160,-9012,-8736,-2580,-8536,-11860,-17044,-14636,-11264,-10804,-9668,-9668,-12920,-792,13472,17120,18364,32767,32767,-6576,-6804,-3424,-5640,-9220,-8936,-10844,-9828
-7500,-7448,-7520,-7964,-10644,-6888,-364,-1052,1800,21036,32767,2372,-6732,-6872,-10328,-8796,-6612,-11328,-9256,-7348,-6796,-7636,-6772,11716,7632,-2896,3156,-8520,-6828,-6156,-6056,-8612
-11328,-9256,-7348,-6796,-7636,-6772,11716,7632,-2896,3156,-8520,-6828,-6156,-6056,-8612,-3880,-784,-3500,3928,11820,-204,-4208,-3456,-2312,1740,-4312,-11260,-8444,-7244,-7264,-9744,-10768
-3880,-784,-3500,3928,11820,-204,-4208,-3456,-2312,1740,-4312,-11260,-8444,-7244,-7264,-9744,-10768,-8520,-13808,-3696,-1404,104,7004,-9420,-8264,-10132,-2772,-388,304,1044,10816,18380
-8520,-13808,-3696,-1404,104,7004,-9420,-8264,-10132,-2772,-388,304,1044,10816,18380,592,-1256,1116,-12024,-7920,-10380,-11248,-10616,-11768,-12304,-10108,-10648,-12908,-6636,-1640,-1196,-2052
592,-1256,1116,-12024,-7920,-10380,-11248,-10616,-11768,-12304,-10108,-10648,-12908,-6636,-1640,-1196,-2052,11880,9884,-3720,-3648,-3288,-9748,-12376,-14208,-13588,-11536,-12060,-11520,-11816,-10420,-10084
11880,9884,-3720,-3648,-3288,-9748,-12376,-14208,-13588,-11536,-12060,-11520,-11816,-10420,-10084,-15420,-11620,-6192,-5888,-4484,4544,10548,-2168,-660,-3960,-1460,-11880,-11816,-11600,-10432,-11296,-11684
-15420,-11620,-6192,-5888,-4484,4544,10548,-2168,-660,-3960,-1460,-11880,-11816,-11600,-10432,-11296,-11684,-11400,-10072,3296,9136,-2836,-4428,-3368,-5776,-12320,-12648,-12852,-14464,-9900,-10552,-12816
-11788,-10316,-11380,-11556,-12596,-13368,-584,18212,32767,32767,-756,26048,32767,32767,7972,-7124,-7120,-5588,-10344,-10912,-13464,-9104,-9928,-9400,-8236,6248,24128,32767,29352,16432,32767,32767
-5588,-10344,-10912,-13464,-9104,-9928,-9400,-8236,6248,24128,32767,29352,16432,32767,32767,32767,-6400,-356,1780,-6988,-11468,-7068,-9552,-5632,-4404,-1940,-3912,-2360,9976,19240,31744,25116
32767,-6400,-356,1780,-6988,-11468,-7068,-9552,-5632,-4404,-1940,-3912,-2360,9976,19240,31744,25116,15232,32767,32767,32767,1564,-8900,-6980,464,-3308,-4420,-7632,-7516,-5636,-1196,-2476
15232,32767,32767,32767,1564,-8900,-6980,464,-3308,-4420,-7632,-7516,-5636,-1196,-2476,328,8092,21764,32767,30324,17896,27752,32767,32767,30376,-8864,-144,-9476,-7700,-6216,-7616,-5492
328,8092,21764,32767,30324,17896,27752,32767,32767,30376,-8864,-144,-9476,-7700,-6216,-7616,-5492,6996,20196,29856,23732,15300,23120,32767,32767,32767,-6264,316,-108,-6436,-9856,-8272
6996,20196,29856,23732,15300,23120,32767,32767,32767,-6264,316,-108,-6436,-9856,-8272,-12936,-9516,-9456,-10352,-9440,4480,15800,32767,23444,17896,32767,32767,32767,27084,-4812,-6620,-5404
-12936,-9516,-9456,-10352,-9440,4480,15800,32767,23444,17896,32767,32767,32767,27084,-4812,-6620,-5404,-5092,-8356,-7160,-11308,-10388,-2712,-3864,-5592,2344,19552,30032,29252,15780,29496,32767 
-12920,-792,13472,17120,18364,32767,32767,-6576,-6804,-3424,-5640,-9220,-8936,-10844,-9828,544,12892,14656,25196,32767,14160,-9012,-8736,-2580,-8536,-11860,-17044,-14636,-11264,-10804,-9668,-9668
-7436,-8516,-7932,-9116,-6224,-8620,-11152,-11924,-13488,-9896,-9032,-10352,-1684,14940,30504,32767,27416,-4296,-4744,-6280,-10100,-10652,-14392,-10012,-8200,-8576,-9548,-5880,5376,14368,16780,20996
-4296,-4744,-6280,-10100,-10652,-14392,-10012,-8200,-8576,-9548,-5880,5376,14368,16780,20996,32767,32767,6720,-10128,-10020,-9640,-5828,-11180,-11672,-7488,-7260,-7024,-8228,-8744,-3732,15080,18988
32767,32767,6720,-10128,-10020,-9640,-5828,-11180,-11672,-7488,-7260,-7024,-8228,-8744,-3732,15080,18988,19392,31724,32767,13004,-9164,-5236,-5528,-6060,-17160,-16320,-11960,-8180,-10108,-10048,-7808
19392,31724,32767,13004,-9164,-5236,-5528,-6060,-17160,-16320,-11960,-8180,-10108,-10048,-7808,-8120,2152,11756,15196,14856,28944,32767,32767,-9016,-6840,-3896,-12188,-14148,-13940,-11696,-12340,-10848
-8120,2152,11756,15196,14856,28944,32767,32767,-9016,-6840,-3896,-12188,-14148,-13940,-11696,-12340,-10848,-9920,-7840,-4800,12344,32767,32767,8296,-10120,-9840,-3980,-8708,-14236,-9440,-8248,-9780
-9920,-7840,-4800,12344,32767,32767,8296,-10120,-9840,-3980,-8708,-14236,-9440,-8248,-9780,-10120,-9720,-2084,-2092,7752,12296,32767,32767,15128,-10032,-6952,-13392,-7776,-8752,-8004,-11908,-12304 
-5092,-8356,-7160,-11308,-10388,-2712,-3864,-5592,2344,19552,30032,29252,15780,29496,32767,32767,32767,-11648,692,-6212,-11884,-12628,-8244,-4216,-2572,-4488,-4344,8392,22136,31060,25804,18748
32767,32767,-11648,692,-6212,-11884,-12628,-8244,-4216,-2572,-4488,-4344,8392,22136,31060,25804,18748,32767,32767,32767,14780,-6004,-6056,-9280,17380,32767,32767,32767,12312,-9084,-4124,-3992
32767,32767,32767,14780,-6004,-6056,-9280,17380,32767,32767,32767,12312,-9084,-4124,-3992,-5648,-4892,-4760,-9900,-6976,-6384,-6396,-700,10788,24444,32756,18960,21428,32767,32767,32767,192
-5648,-4892,-4760,-9900,-6976,-6384,-6396,-700,10788,24444,32756,18960,21428,32767,32767,32767,192,-13696,-11636,-9296,-9656,-8760,-11172,-14684,-10780,-10736,32767,-6292,-10172,-6416,-8332,-11188
-13696,-11636,-9296,-9656,-8760,-11172,-14684,-10780,-10736,32767,-6292,-10172,-6416,-8332,-11188,-12712,-11900,-8792,-6896,-6844,1376,13188,30556,24780,14416,28700,32767,32767,3408,-11264,-8324,-4992
-12712,-11900,-8792,-6896,-6844,1376,13188,30556,24780,14416,28700,32767,32767,3408,-11264,-8324,-4992,-8912,-14996,-13884,-12744,-11380,-12268,25120,32408,24224,18052,32767,32767,32767,-7436,-9228
-8912,-14996,-13884,-12744,-11380,-12268,25120,32408,24224,18052,32767,32767,32767,-7436,-9228,-7208,-5200,-5688,-9940,-8532,-6420,-5804,-6616,-220,13892,32767,27716,17356,32364,32767,32767,27716 
-11400,-10072,3296,9136,-2836,-4428,-3368,-5776,-12320,-12648,-12852,-14464,-9900,-10552,-12816,-11860,-8220,-2220,-2160,4568,5124,1288,-4312,-2920,-2584,-10256,-14416,-12624,-14868,-10692,-12856,-12836
-11860,-8220,-2220,-2160,4568,5124,1288,-4312,-2920,-2584,-10256,-14416,-12624,-14868,-10692,-12856,-12836,-10776,-9288,-11772,-6332,-4224,-3304,3732,20180,-1632,-1152,-2732,-4936,-8640,-8804,-11716
-10776,-9288,-11772,-6332,-4224,-3304,3732,20180,-1632,-1152,-2732,-4936,-8640,-8804,-11716,-10432,-10576,-9444,-10932,-9284,-13524,-5608,-908,-512,6804,13760,-2608,-3784,-2204,-3240,-424,-11384
-10432,-10576,-9444,-10932,-9284,-13524,-5608,-908,-512,6804,13760,-2608,-3784,-2204,-3240,-424,-11384,-12828,-12540,-10148,-11656,-10812,-11512,-11584,-10740,-10052,-9232,-6520,872,7188,88,-4388
-12828,-12540,-10148,-11656,-10812,-11512,-11584,-10740,-10052,-9232,-6520,872,7188,88,-4388,-2032,-6212,-8312,-7624,-11384,-11508,-11556,-14680,-11180,-11268,-9072,-5088,-2028,7096,10672,-2988,-1136
-2032,-6212,-8312,-7624,-11384,-11508,-11556,-14680,-11180,-11268,-9072,-5088,-2028,7096,10672,-2988,-1136,-3772,-3188,-11128,-10944,-12768,-10064,-13004,-11616,-12536,-11944,-12340,-12012,-9820,-6880,-1968
-3772,-3188,-11128,-10944,-12768,-10064,-13004,-11616,-12536,-11944,-12340,-12012,-9820,-6880,-1968,4812,4848,-1440,-3620,-2580,-2080,-9736,-10728,-11196,-13196,-11644,-11136,-12380,-11308,-11588,-12252,-10032 
-11296,-5816,-3864,-7452,-9592,-10404,-6304,-4724,-4052,868,8528,14948,7424,4432,744,2112,14612,32767,9776,-13756,-11180,-11140,-12936,-17328,-15316,-12468,-11948,-11312,-11128,-9716,-8572,-9820
2112,14612,32767,9776,-13756,-11180,-11140,-12936,-17328,-15316,-12468,-11948,-11312,-11128,-9716,-8572,-9820,-6156,7728,-124,12912,32767,32767,-7780,-12524,-10104,-6868,-14864,-16976,-17012,-10428,-9848
-6156,7728,-124,12912,32767,32767,-7780,-12524,-10104,-6868,-14864,-16976,-17012,-10428,-9848,-10276,-9068,-7444,-7256,-3060,4116,11680,10060,4384,2284,4568,32767,32767,-6440,-13704,-10200,-8220
-10276,-9068,-7444,-7256,-3060,4116,11680,10060,4384,2284,4568,32767,32767,-6440,-13704,-10200,-8220,-14332,-14992,-13644,-12060,-9760,-10424,-11000,-8340,-7388,-8436,-5104,4464,7632,9772,8336
-14332,-14992,-13644,-12060,-9760,-10424,-11000,-8340,-7388,-8436,-5104,4464,7632,9772,8336,4428,4264,32767,32767,416,-10236,-6176,-4844,-13924,-14900,-12592,-8832,-8308,-9256,-7504,-8156,-736
4428,4264,32767,32767,416,-10236,-6176,-4844,-13924,-14900,-12592,-8832,-8308,-9256,-7504,-8156,-736,9460,14844,17980,11996,6452,24644,32767,32767,-6200,-8136,-6184,-15620,-14552,-10444,-8784
9460,14844,17980,11996,6452,24644,32767,32767,-6200,-8136,-6184,-15620,-14552,-10444,-8784,-9328,-8108,-9068,-3224,4764,14252,12804,4528,3576,11784,32767,32767,-8788,-9948,-9956,-14756,-15764 
-124,4276,2380,-3364,32767,8792,6336,-3492,-8596,-15316,-15956,-14304,-9804,-15312,-15312,-12692,-7540,-180,6432,1196,17604,32767,9308,6496,-1056,-5052,-15280,-3824,-3688,6660,3064,6120
-12692,-7540,-180,6432,1196,17604,32767,9308,6496,-1056,-5052,-15280,-3824,-3688,6660,3064,6120,32767,17292,12964,4072,-8732,-11208,-12788,-13788,-14356,-17032,-12020,-7732,-6148,-3928,-548
32767,17292,12964,4072,-8732,-11208,-12788,-13788,-14356,-17032,-12020,-7732,-6148,-3928,-548,1120,-160,2100,2236,32767,22892,6252,-6164,-10064,-15396,-13236,-12908,-17248,-16092,-10804,-11092,4160
1120,-160,2100,2236,32767,22892,6252,-6164,-10064,-15396,-13236,-12908,-17248,-16092,-10804,-11092,4160,15316,9108,3004,1040,12228,32767,13516,6640,404,-10920,-15296,-13664,-10224,-13912,-17464
15316,9108,3004,1040,12228,32767,13516,6640,404,-10920,-15296,-13664,-10224,-13912,-17464,-13396,-8364,1756,7196,1040,15988,25804,8184,972,-5424,-16180,-14988,-12100,-10960,-17780,-14404,-9752
-13396,-8364,1756,7196,1040,15988,25804,8184,972,-5424,-16180,-14988,-12100,-10960,-17780,-14404,-9752,-6588,-4144,-88,5108,4444,-1588,14384,32767,12932,5824,4100,-13080,-16908,-12924,-11860
-6588,-4144,-88,5108,4444,-1588,14384,32767,12932,5824,4100,-13080,-16908,-12924,-11860,-18376,-16752,-11660,-5748,-2844,1448,3800,1776,-536,764,19960,26304,5300,2980,4488,-9780,-13976
