-13696,-12784,-11484,-15156,-32768,-32768,-12288,2700,-10524,-8292,-8248,-12172,-14336,-8700,-7000,-18716,-32768,-32768,2316,1644,-7820,-32768,-24336,-7548,-14016,-13984,-14764,-16400,-10680,-7148,-6200,-11336
-32768,2316,1644,-7820,-32768,-24336,-7548,-14016,-13984,-14764,-16400,-10680,-7148,-6200,-11336,-8872,-2440,-18444,-31652,-32768,-5136,4128,-64,-32768,-27048,-9988,-12792,-14416,-12280,-7352,-8240,-6304
-8872,-2440,-18444,-31652,-32768,-5136,4128,-64,-32768,-27048,-9988,-12792,-14416,-12280,-7352,-8240,-6304,-16756,-5640,-9004,-10040,876,-32768,-32768,-10288,9880,-4388,-27208,-32768,-11980,-12636,-9360
-16756,-5640,-9004,-10040,876,-32768,-32768,-10288,9880,-4388,-27208,-32768,-11980,-12636,-9360,-8700,-10488,-10460,-6784,-29208,-12212,-12312,-8576,-9752,-8924,-10068,-9868,-14184,-14328,-10496,-9924,-11176
-8700,-10488,-10460,-6784,-29208,-12212,-12312,-8576,-9752,-8924,-10068,-9868,-14184,-14328,-10496,-9924,-11176,-14724,-28176,-32768,-25636,4916,-7136,-17080,-15924,-11696,-10900,-9684,-19480,-32768,-31668,3168
-14724,-28176,-32768,-25636,4916,-7136,-17080,-15924,-11696,-10900,-9684,-19480,-32768,-31668,3168,4084,-19824,-32768,-14044,-6864,-16624,-12224,-14584,-9180,-7248,-10716,-13716,-12560,-11076,-7876,-16272,-32768
4084,-19824,-32768,-14044,-6864,-16624,-12224,-14584,-9180,-7248,-10716,-13716,-12560,-11076,-7876,-16272,-32768,-32768,-15264,7740,420,-25948,-15716,-21612,-16968,-11596,-7636,-7252,-7420,-8200,-9604,-12032 
-11900,-11328,-13328,-11008,-7016,-10596,-20256,-17052,-24184,-22076,-32768,-32768,664,25624,3768,6348,-12028,-10688,-14348,-10496,-10260,-10984,-21860,-15280,-13360,-12732,-6760,-11460,-13580,-23460,-32768,-27816
-10688,-14348,-10496,-10260,-10984,-21860,-15280,-13360,-12732,-6760,-11460,-13580,-23460,-32768,-27816,20888,13676,4264,5948,-13200,-12952,-16188,-15288,-11020,-17872,-18032,-15928,-14532,-11896,-9704,-9916,-13236
20888,13676,4264,5948,-13200,-12952,-16188,-15288,-11020,-17872,-18032,-15928,-14532,-11896,-9704,-9916,-13236,-17848,-20932,-32768,-32,26696,756,5260,3932,-17736,-21768,-17940,-18208,-16788,-12924,-18688
-17848,-20932,-32768,-32,26696,756,5260,3932,-17736,-21768,-17940,-18208,-16788,-12924,-18688,-15308,-14912,-13568,-11536,-13460,-5980,-13260,-21304,-32768,-32768,29732,3540,16968,2896,3680,-4792,-13436
-15308,-14912,-13568,-11536,-13460,-5980,-13260,-21304,-32768,-32768,29732,3540,16968,2896,3680,-4792,-13436,-13760,-16576,-13292,-15640,-15872,-15128,-12536,-17680,-14760,-16596,-21796,-24108,-30292,-32768,26232
-13760,-16576,-13292,-15640,-15872,-15128,-12536,-17680,-14760,-16596,-21796,-24108,-30292,-32768,26232,22880,1212,4472,-332,-11408,-18680,-18980,-13932,-15212,-18304,-17004,-16824,-14340,-9340,-17348,-20208,-23076
22880,1212,4472,-332,-11408,-18680,-18980,-13932,-15212,-18304,-17004,-16824,-14340,-9340,-17348,-20208,-23076,2268,1268,-8752,-19472,-19852,-17748,-19240,-17280,-16736,-13832,-14304,-16948,-20164,-17196,-20688 
-15404,-14700,-11992,-12744,-18108,-19020,-10168,2528,296,-20356,-108,15764,16468,2408,4048,-15484,-26084,-18388,-14896,-12740,-17640,-8348,-13152,-16020,-2216,-1152,-28032,-32768,32767,9008,5508,3728
-18388,-14896,-12740,-17640,-8348,-13152,-16020,-2216,-1152,-28032,-32768,32767,9008,5508,3728,2292,-9684,-12980,-15016,-14536,-12564,-15548,-14384,-9864,-12752,-17188,-16752,-12732,-10484,-23000,-32768,32767
2292,-9684,-12980,-15016,-14536,-12564,-15548,-14384,-9864,-12752,-17188,-16752,-12732,-10484,-23000,-32768,32767,8788,3772,-144,-4280,-11276,-15324,-13956,-14496,-13244,-15700,-14748,-14152,-22720,-11088,-9900
8788,3772,-144,-4280,-11276,-15324,-13956,-14496,-13244,-15700,-14748,-14152,-22720,-11088,-9900,-10836,-19584,-30108,31928,-188,1928,-5956,3744,-8880,-20236,-16272,-14916,-11028,-22824,-13508,7504,8880
-10836,-19584,-30108,31928,-188,1928,-5956,3744,-8880,-20236,-16272,-14916,-11028,-22824,-13508,7504,8880,11916,-31348,25844,3044,1256,-5796,-7980,-18672,-12332,-13044,-9772,-17028,-17412,-14504,-18012
11916,-31348,25844,3044,1256,-5796,-7980,-18672,-12332,-13044,-9772,-17028,-17412,-14504,-18012,-5956,-7432,7628,8588,-24740,5732,2284,-1048,-5332,-12456,-8136,-13012,-12804,-11448,-13972,-13712,-10240
-5956,-7432,7628,8588,-24740,5732,2284,-1048,-5332,-12456,-8136,-13012,-12804,-11448,-13972,-13712,-10240,-16384,-18932,4356,5856,16404,-23352,19056,12040,-2432,-2672,-11012,-8268,-12868,-14104,-15116 
-14808,-15016,-14200,-13668,-11464,-23792,-27380,-4248,3808,10816,-32768,-14948,-1500,672,-2352,-7924,-17984,-19344,-14376,-16948,-11968,-11004,-26200,-28744,10116,-664,14596,-16480,-14176,-12744,-21640,-22248
-19344,-14376,-16948,-11968,-11004,-26200,-28744,10116,-664,14596,-16480,-14176,-12744,-21640,-22248,-15964,-6488,824,1768,-6760,796,628,2380,-2004,-13244,-17076,-14540,-13440,-11792,-12804,-15120,-14800
-15964,-6488,824,1768,-6760,796,628,2380,-2004,-13244,-17076,-14540,-13440,-11792,-12804,-15120,-14800,-13824,-24544,-16556,-9068,-7160,2956,-14172,-10672,-24024,-22892,-8976,-600,-8096,-8500,-32768
-13824,-24544,-16556,-9068,-7160,2956,-14172,-10672,-24024,-22892,-8976,-600,-8096,-8500,-32768,-11572,-1304,-7680,-15148,-17016,-11712,-11716,-11648,-11968,-11912,-9996,-11532,-15192,-10012,-1616,2716,7700
-11572,-1304,-7680,-15148,-17016,-11712,-11716,-11648,-11968,-11912,-9996,-11532,-15192,-10012,-1616,2716,7700,-10928,31172,-280,-64,-788,-6204,-7512,-15144,-10836,-12548,-11864,-12040,-13288,-11136,-10768
-12972,-10724,8772,-24404,-2008,-2800,68,-4316,-6880,-10472,-10216,-9896,-10028,-10972,-10920,-15604,-16584,-13600,-8940,2208,480,-15728,-13780,508,444,-5792,-8940,-14604,-9604,-10620,-13236,-11336
-15604,-16584,-13600,-8940,2208,480,-15728,-13780,508,444,-5792,-8940,-14604,-9604,-10620,-13236,-11336,-12972,-10724,8772,-24404,-2008,-2800,68,-4316,-6880,-10472,-10216,-9896,-10028,-10972,-10920 
-11640,-11316,-12228,-10148,-11120,-6348,216,-6648,-16264,-14120,-12948,-32768,-32768,2320,26296,5512,8952,-6536,-12676,-20876,-18084,-14176,-18596,-13304,-9712,-7656,-2768,-7556,-13768,-21204,-32768,-32768
-6536,-12676,-20876,-18084,-14176,-18596,-13304,-9712,-7656,-2768,-7556,-13768,-21204,-32768,-32768,32767,10660,14756,-8472,-9040,-20992,-22344,-16424,-16056,-16508,-17068,-14108,-14180,-8208,-5332,-7008,-18272
32767,10660,14756,-8472,-9040,-20992,-22344,-16424,-16056,-16508,-17068,-14108,-14180,-8208,-5332,-7008,-18272,-20392,-32768,-32768,11332,27380,8660,9148,7300,-14116,-20316,-21168,-15552,-17876,-19948,-16884
